GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS636596712	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-05-09	08:21:00	obsr918292	S46954061	Stationary	P21	EBIRD	15			2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS615398452	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-05-10	16:25:00	obsr555085	S45536672	Traveling	P22	EBIRD	99	2.250		3	1	G3184265	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS610715297	2022-01-22 12:24:14.371353	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--Sendero Sinaí (PANACAM Lodge)	L3705629	H	14.8661553	-87.8957105	2018-05-04	09:40:00	obsr546404	S45272866	Traveling	P22	EBIRD	182	3.000		6	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS617101342	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-05-10	16:25:00	obsr14774	S45632191	Traveling	P22	EBIRD	99	2.250		3	1	G3184265	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS612769969	2021-12-23 16:47:27.51105	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--Sendero El Venado (PANACAM Lodge)	L3704554	H	14.8718274	-87.9031992	2018-05-05	11:29:00	obsr918292	S45386470	Traveling	P22	EBIRD	157	1.610		6	1	G3163285	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS611940399	2021-12-23 16:47:27.51105	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--Sendero El Venado (PANACAM Lodge)	L3704554	H	14.8718274	-87.9031992	2018-05-05	11:29:00	obsr668583	S45341596	Traveling	P22	EBIRD	157	1.610		6	1	G3163285	0	1	0		Global Big Day 		
URN:CornellLabOfOrnithology:EBIRD:OBS612584543	2021-12-23 16:47:27.51105	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--Sendero El Venado (PANACAM Lodge)	L3704554	H	14.8718274	-87.9031992	2018-05-05	11:29:00	obsr272124	S45376169	Traveling	P22	EBIRD	157	1.610		6	1	G3163285	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS615400083	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-05-10	16:25:00	obsr326529	S45536747	Traveling	P22	EBIRD	99	2.250		3	1	G3184265	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS611345757	2021-12-23 16:47:27.51105	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				1					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--Sendero El Venado (PANACAM Lodge)	L3704554	H	14.8718274	-87.9031992	2018-05-05	11:29:00	obsr546404	S45308822	Traveling	P22	EBIRD	157	1.610		6	1	G3163285	0	1	0		Global Big Day 		
URN:CornellLabOfOrnithology:EBIRD:OBS636256493	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-06-05	05:40:00	obsr605330	S46931448	Traveling	P22	EBIRD	259	1.609		8	1	G3262255	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS632191653	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-06-05	05:40:00	obsr1119746	S46631601	Traveling	P22	EBIRD	259	1.609		8	1	G3262255	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS628896727	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-06-05	05:40:00	obsr726801	S46389441	Traveling	P22	EBIRD	259	1.609		8	1	G3262255	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS628530941	2021-12-23 16:39:37.742889	9525	species	avibase-A8FEEA01	Keel-billed Motmot	Electron carinatum				2					Honduras	HN	Cortés	HN-CR							PN Cerro Azul Meámbar--PANACAM Lodge	L887019	H	14.8723770	-87.9055703	2018-06-05	05:40:00	obsr165148	S46362298	Traveling	P22	EBIRD	259	1.609		8	1	G3262255	0	1	0				
